composer_name,composer_name-href,song_name,song_name-href,title,type,instrumentation,key,collection,rcm_grade,abrsm_grade,henle_grade
"Debussy, Claude","http://www.classicalmusicdb.com/composers/view/15","» Jeux (Games)","http://www.classicalmusicdb.com/musics/view/4986","Claude Debussy:Jeux (Games)","null","Orchestra","null","null","N/A","N/A","N/A"
"Bartók, Béla","http://www.classicalmusicdb.com/composers/view/18","» Étude, Op. 18, No. 3","http://www.classicalmusicdb.com/musics/view/957","Béla Bartók:Étude, Op. 18, No. 3from Collection: 3 Études, Op. 18","Étude","- Piano Solo","null","3 Études, Op. 18","Grade 11 (ARCT Performance) Piano
 Concert Etudes
Grade 12 (LRCM) Piano* (partial)
 20th- and 21st-century Repertoire
 »  two or more étude Op. 18","N/A","N/A"
"Schumann, Robert","http://www.classicalmusicdb.com/composers/view/13","» Walzer, Op. 124, No. 4","http://www.classicalmusicdb.com/musics/view/1590","Robert Schumann:Walzer, Op. 124, No. 4from Collection: Albumblätter (Album Leaves), Op. 124","null","- Piano Solo","null","Albumblätter (Album Leaves), Op. 124","N/A","N/A","N/A"
"Albéniz, Issac","http://www.classicalmusicdb.com/composers/view/14","» Orientale, Op. 232, No. 2","http://www.classicalmusicdb.com/musics/view/739","Issac Albéniz:Orientale, Op. 232, No. 2from Collection: Chants d'Espagne (Cantos de España) (Songs of Spain), Op. 232","null","- Piano Solo","null","Chants d'Espagne (Cantos de España) (Songs of Spain), Op. 232","N/A","N/A","Level 5/6 (medium) Piano"
"Norton, Christopher","http://www.classicalmusicdb.com/composers/view/74","» No Worries","http://www.classicalmusicdb.com/musics/view/6264","Christopher Norton:No Worriesfrom Collection: Christopher Norton Connections for Piano 1","null","- Piano Solo","null","Christopher Norton Connections for Piano 1","Grade 1 Piano
 List B: Romantic, 20th-, and 21st-century Repertoire","N/A","N/A"
"Brahms, Johannes","http://www.classicalmusicdb.com/composers/view/9","» Hochgetürmte Rimaflut, wie bist so trüb, Op. 103, No. 2","http://www.classicalmusicdb.com/musics/view/4420","Johannes Brahms:Hochgetürmte Rimaflut, wie bist so trüb, Op. 103, No. 2from Collection: Zigeunerlieder, Op. 103","Lied","null","null","Zigeunerlieder, Op. 103","N/A","N/A","N/A"
"Locatelli, Pietro","http://www.classicalmusicdb.com/composers/view/405","» Caprice No. 11, Op. 3","http://www.classicalmusicdb.com/musics/view/5446","Pietro Locatelli:Caprice No. 11, Op. 3from Collection: L'arte del violino, Op. 3","Caprice","Violin Solo","null","L'arte del violino, Op. 3","Grade 10 Violin
 Etudes","N/A","N/A"
"Sitt, Han","http://www.classicalmusicdb.com/composers/view/364","» Étude, Op. 32, No. 8","http://www.classicalmusicdb.com/musics/view/5223","Han Sitt:Étude, Op. 32, No. 8from Collection: Studies for the Violin, Op. 32","Étude","null","null","Studies for the Violin, Op. 32","Grade 5 Violin
 Etudes","N/A","N/A"
"Brahms, Johannes","http://www.classicalmusicdb.com/composers/view/9","» Der Überläufer (""In den Garten wollen wir gehen"") in F♯ Minor, Op. 48, No. 2","http://www.classicalmusicdb.com/musics/view/4153","Johannes Brahms:Der Überläufer (""In den Garten wollen wir gehen"") in F♯ Minor, Op. 48, No. 2","Lied","Voice & Piano","F♯ Minor","null","N/A","N/A","N/A"
"Beethoven, Ludwig van","http://www.classicalmusicdb.com/composers/view/6","» Bagatelle in D Major, Op. 33, No. 6, Allegretto quasi andante","http://www.classicalmusicdb.com/musics/view/136","Ludwig van Beethoven:Bagatelle in D Major, Op. 33, No. 6, Allegretto quasi andantefrom Collection: 7 Bagatelles, Op. 33","Bagatelle","- Piano Solo","D Major","7 Bagatelles, Op. 33","Grade 7 Piano
 List B: Classical and Classical-style Repertoire","N/A","Level 4 (medium) Piano"
"Brahms, Johannes","http://www.classicalmusicdb.com/composers/view/9","» Hungarian Dance No.13 in D Major, WoO  1, No. 13","http://www.classicalmusicdb.com/musics/view/4537","Johannes Brahms:Hungarian Dance No.13 in D Major, WoO  1, No. 13","Dance","null","D Major","null","N/A","N/A","N/A"
"Liszt, Franz","http://www.classicalmusicdb.com/composers/view/3","» Transcendental Étude in G Minor, No. 6 (Vision)","http://www.classicalmusicdb.com/musics/view/1025","Franz Liszt:Transcendental Étude in G Minor, No. 6 (Vision)from Collection: Douze études d'exécution transcendante (Transcendental Études), S. 139","Étude","- Piano Solo","G Minor","Douze études d'exécution transcendante (Transcendental Études), S. 139","Grade 11 (ARCT Performance) Piano
 Concert Etudes","N/A","Level 8 (difficult) Piano"
"Scarlatti, Domenico","http://www.classicalmusicdb.com/composers/view/25","» Piano Sonata in D Minor, K.  9","http://www.classicalmusicdb.com/musics/view/1542","Domenico Scarlatti:Piano Sonata in D Minor, K.  9","Sonata","- Piano Solo","D Minor","null","Grade 9 Piano
 List A: Baroque Repertoire","N/A","N/A"
"Chopin, Frédéric","http://www.classicalmusicdb.com/composers/view/1","» Mazurka in C Major, Op. 24, No. 2","http://www.classicalmusicdb.com/musics/view/1423","Frédéric Chopin:Mazurka in C Major, Op. 24, No. 2","Mazurka","- Piano Solo","C Major","null","N/A","N/A","Level 4 (medium) Piano"
"Mozart, Wolfgang Amadeus","http://www.classicalmusicdb.com/composers/view/7","» Fugue in C Minor, KV  626n/27, K.  Anh.39a","http://www.classicalmusicdb.com/musics/view/3941","Wolfgang Amadeus Mozart:Fugue in C Minor, KV  626n/27, K.  Anh.39a","Fugue","- Piano Solo","C Minor","null","N/A","N/A","N/A"
"Mozart, Wolfgang Amadeus","http://www.classicalmusicdb.com/composers/view/7","» Warnung  (""Männer suchen stets zu naschen"") in F Major, KV  416c, K.  433","http://www.classicalmusicdb.com/musics/view/3692","Wolfgang Amadeus Mozart:Warnung  (""Männer suchen stets zu naschen"") in F Major, KV  416c, K.  433","null","Voice & Orchestra","F Major","null","N/A","N/A","N/A"
"Crumb, George","http://www.classicalmusicdb.com/composers/view/456","» Five Pieces for Piano","http://www.classicalmusicdb.com/musics/view/6008","George Crumb:Five Pieces for Piano","null","- Piano Solo","null","null","Grade 12 (LRCM) Piano
 20th- and 21st-century Repertoire","N/A","N/A"
"Petzold, Christian","http://www.classicalmusicdb.com/composers/view/258","» Minuet in G Major, BWV  Anh. 114","http://www.classicalmusicdb.com/musics/view/2236","Christian Petzold:Minuet in G Major, BWV  Anh. 114","Minuet","- Piano Solo","G Major","null","Grade 3 Piano
 List A: Baroque Repertoire","N/A","Level 1 (easy) Piano"
"Ibert , Jacques","http://www.classicalmusicdb.com/composers/view/59","» Premier bal, No. 14, Tempo di Valzer moderato","http://www.classicalmusicdb.com/musics/view/1891","Jacques Ibert :Premier bal, No. 14, Tempo di Valzer moderatofrom Collection: Petite Suite en 15 images","null","- Piano Solo","null","Petite Suite en 15 images","N/A","N/A","N/A"
"Bach, Johann Sebastian","http://www.classicalmusicdb.com/composers/view/5","» Partita No. 1 in B♭ Major, BWV  825","http://www.classicalmusicdb.com/musics/view/22","Johann Sebastian Bach:Partita No. 1 in B♭ Major, BWV  825","Partita","- Piano Solo","B♭ Major","null","Grade 11 (ARCT Performance) Piano* (partial)
 List A: Works of J.S. Bach
Grade 12 (LRCM) Piano
 Baroque Repertoire","N/A","N/A"
"Prokofiev, Sergei Sergeyevich","http://www.classicalmusicdb.com/composers/view/49","» Lento irrealmente, Op. 22, No. 20","http://www.classicalmusicdb.com/musics/view/6358","Sergei Sergeyevich Prokofiev:Lento irrealmente, Op. 22, No. 20from Collection: Visions fugitives, Op. 22","null","- Piano Solo","null","Visions fugitives, Op. 22","N/A","N/A","N/A"
"Dvořák, Antonín Leopold","http://www.classicalmusicdb.com/composers/view/32","» Cello Concerto in B Minor, Op. 104, B.  191","http://www.classicalmusicdb.com/musics/view/4898","Antonín Leopold Dvořák:Cello Concerto in B Minor, Op. 104, B.  191","Concerto","Cello & Orchestra","B Minor","null","N/A","N/A","N/A"
"Grieg, Edvard","http://www.classicalmusicdb.com/composers/view/10","» Holberg Suite, Op. 40","http://www.classicalmusicdb.com/musics/view/2417","Edvard Grieg:Holberg Suite, Op. 40","Suite","Orchestra","null","null","N/A","N/A","N/A"
"Harman, Chris Paul","http://www.classicalmusicdb.com/composers/view/305","» New Work","http://www.classicalmusicdb.com/musics/view/4891","Chris Paul Harman:New Work","null","null","null","null","N/A","N/A","N/A"
"Turina, Joaquín","http://www.classicalmusicdb.com/composers/view/205","» Course féerique (Magical Race), Op. 56, No. 8","http://www.classicalmusicdb.com/musics/view/1827","Joaquín Turina:Course féerique (Magical Race), Op. 56, No. 8from Collection: Niñerias, Series 2, Op. 56","null","- Piano Solo","null","Niñerias, Series 2, Op. 56","N/A","N/A","N/A"
"Chopin, Frédéric","http://www.classicalmusicdb.com/composers/view/1","» Polonaise in A♭ Major, Op. 53 (Polonaise héroïque, Heroic Polonaise)","http://www.classicalmusicdb.com/musics/view/16","Frédéric Chopin:Polonaise in A♭ Major, Op. 53 (Polonaise héroïque, Heroic Polonaise)","Polonaise","- Piano Solo","A♭ Major","null","Grade 11 (ARCT Performance) Piano
 List C: Romantic Repertoire","N/A","Level 8 (difficult) Piano"
"Messiaen, Olivier","http://www.classicalmusicdb.com/composers/view/252","» Le Traquet Stapazin (Black - eared Wheatear), No. 4 (2er Livre (Book 2))","http://www.classicalmusicdb.com/musics/view/6050","Olivier Messiaen:Le Traquet Stapazin (Black - eared Wheatear), No. 4 (2er Livre (Book 2))from Collection: Catalogues d’oiseaux (Catalogue of Birds)","null","- Piano Solo","null","Catalogues d’oiseaux (Catalogue of Birds)","Grade 12 (LRCM) Piano
 20th- and 21st-century Repertoire","N/A","N/A"
"Martirano, Salvatore","http://www.classicalmusicdb.com/composers/view/493","» Cocktail Music","http://www.classicalmusicdb.com/musics/view/6043","Salvatore Martirano:Cocktail Music","null","- Piano Solo","null","null","Grade 12 (LRCM) Piano
 20th- and 21st-century Repertoire","N/A","N/A"
"Mozart, Wolfgang Amadeus","http://www.classicalmusicdb.com/composers/view/7","» Canon (""O du eselhafter Martin"") in F Major, KV  560, K.  560","http://www.classicalmusicdb.com/musics/view/3853","Wolfgang Amadeus Mozart:Canon (""O du eselhafter Martin"") in F Major, KV  560, K.  560","null","4 Voices","F Major","null","N/A","N/A","N/A"
"Rovelli, Pietro","http://www.classicalmusicdb.com/composers/view/407","» Caprice, Op. 3, No. 8","http://www.classicalmusicdb.com/musics/view/5497","Pietro Rovelli:Caprice, Op. 3, No. 8from Collection: 12 Caprices for Solo Violin, Op. 3","Caprice","Violin Solo","null","12 Caprices for Solo Violin, Op. 3","Grade 10 Violin
 Etudes","N/A","N/A"
"Albéniz, Issac","http://www.classicalmusicdb.com/composers/view/14","» Almería in G Major, No. 2","http://www.classicalmusicdb.com/musics/view/745","Issac Albéniz:Almería in G Major, No. 2from Collection: Iberia 2","null","- Piano Solo","G Major","Iberia 2","N/A","N/A","Level 7 (difficult) Piano"
"Method Book,","http://www.classicalmusicdb.com/composers/view/429","» Cops and Robbers","http://www.classicalmusicdb.com/musics/view/5641","Method Book:Cops and Robbersfrom Collection: Bastien Piano Basics, Piano 1","null","- Piano Solo","null","Bastien Piano Basics, Piano 1","Preparatory A Piano
 Repertoire from Method Books","N/A","N/A"
"Turina, Joaquín","http://www.classicalmusicdb.com/composers/view/205","» A l'école (At school), Op. 56, No. 2","http://www.classicalmusicdb.com/musics/view/1832","Joaquín Turina:A l'école (At school), Op. 56, No. 2from Collection: Niñerias, Series 2, Op. 56","null","- Piano Solo","null","Niñerias, Series 2, Op. 56","N/A","N/A","N/A"
"Haydn, Franz Joseph","http://www.classicalmusicdb.com/composers/view/8","» Piano Sonata in C Major, Hob.  XVI:50 (English)","http://www.classicalmusicdb.com/musics/view/567","Franz Joseph Haydn:Piano Sonata in C Major, Hob.  XVI:50 (English)","Sonata","- Piano Solo","C Major","null","Grade 11 (ARCT Performance) Piano
 List B: Sonatas","N/A","N/A"
"Scriabin, Alexander","http://www.classicalmusicdb.com/composers/view/29","» Étude, Op. 56, No. 4","http://www.classicalmusicdb.com/musics/view/1148","Alexander Scriabin:Étude, Op. 56, No. 4from Collection: Four Pieces, Op. 56","Étude","- Piano Solo","null","Four Pieces, Op. 56","Grade 11 (ARCT Performance) Piano
 Concert Etudes","N/A","N/A"
"Mozart, Wolfgang Amadeus","http://www.classicalmusicdb.com/composers/view/7","» Cibavit eos in A Minor, KV  73u, K.  44","http://www.classicalmusicdb.com/musics/view/3402","Wolfgang Amadeus Mozart:Cibavit eos in A Minor, KV  73u, K.  44","null","null","A Minor","null","N/A","N/A","N/A"
"Brahms, Johannes","http://www.classicalmusicdb.com/composers/view/9","» Intermezzo in A Major, Op. 118, No. 2, Andante teneramente","http://www.classicalmusicdb.com/musics/view/363","Johannes Brahms:Intermezzo in A Major, Op. 118, No. 2, Andante teneramentefrom Collection: 6 Klavierstücke, Op. 118","Intermezzo","- Piano Solo","A Major","6 Klavierstücke, Op. 118","Grade 11 (ARCT Performance) Piano
 List C: Romantic Repertoire","Grade 9 (DipABRSM) Piano","Level 6 (medium) Piano"
"Scott, Cyril","http://www.classicalmusicdb.com/composers/view/244","» Lotus Land, Op. 47, No. 1","http://www.classicalmusicdb.com/musics/view/2037","Cyril Scott:Lotus Land, Op. 47, No. 1","null","- Piano Solo","null","null","Grade 10 Piano
 List D: Post-Romantic and Early 20th-century Repertoire","N/A","N/A"
"Geringas, Yaakov","http://www.classicalmusicdb.com/composers/view/374","» Gym","http://www.classicalmusicdb.com/musics/view/5193","Yaakov Geringas:Gymfrom Collection: Shifting: 30 Progressive Studies for Violinists","null","null","null","Shifting: 30 Progressive Studies for Violinists","N/A","N/A","N/A"
"Rimsky-Korsakov, Nikolai","http://www.classicalmusicdb.com/composers/view/166","» Piano Concerto in C♯ Minor, Op. 30","http://www.classicalmusicdb.com/musics/view/883","Nikolai Rimsky-Korsakov:Piano Concerto in C♯ Minor, Op. 30","Concerto","Piano & Orchestra","C♯ Minor","null","Grade 12 (LRCM) Piano
 Concertos","N/A","N/A"
"Donkin, Christine","http://www.classicalmusicdb.com/composers/view/359","» Barn Dance","http://www.classicalmusicdb.com/musics/view/5113","Christine Donkin:Barn Dancefrom Collection: Fall Fair","null","null","null","Fall Fair","Grade 5 Violin
 List C: Concert Repertoire","N/A","N/A"
"Mozart, Wolfgang Amadeus","http://www.classicalmusicdb.com/composers/view/7","» Ich folge dir, verklärter Held in D Major, KV  537d","http://www.classicalmusicdb.com/musics/view/3825","Wolfgang Amadeus Mozart:Ich folge dir, verklärter Held in D Major, KV  537d","null","Voice & Orchestra","D Major","null","N/A","N/A","N/A"
"Mendelssohn, Felix","http://www.classicalmusicdb.com/composers/view/11","» Lieder ohne Worte in E♭ Major, Op. 38, No. 1, Con moto","http://www.classicalmusicdb.com/musics/view/1330","Felix Mendelssohn:Lieder ohne Worte in E♭ Major, Op. 38, No. 1, Con motofrom Collection: Lieder ohne Worte (Songs Without Words) Book 3, Op. 38","null","- Piano Solo","E♭ Major","Lieder ohne Worte (Songs Without Words) Book 3, Op. 38","Grade 9 Piano
 List C: Romantic Repertoire","N/A","N/A"
"Shostakovich, Dmitri","http://www.classicalmusicdb.com/composers/view/26","» Prelude in E Minor, Op. 34, No. 4","http://www.classicalmusicdb.com/musics/view/2184","Dmitri Shostakovich:Prelude in E Minor, Op. 34, No. 4from Collection: 24 Preludes, Op. 34","Prélude","- Piano Solo","E Minor","24 Preludes, Op. 34","N/A","N/A","N/A"
"Brahms, Johannes","http://www.classicalmusicdb.com/composers/view/9","» Bitteres zu sagen denkst du in F Major, Op. 32, No. 7","http://www.classicalmusicdb.com/musics/view/4066","Johannes Brahms:Bitteres zu sagen denkst du in F Major, Op. 32, No. 7","Song","Voice & Piano","F Major","null","N/A","N/A","N/A"
"Mozart, Wolfgang Amadeus","http://www.classicalmusicdb.com/composers/view/7","» Serenade No. 6 in D Major, KV  239, K.  239 (Serenata notturna)","http://www.classicalmusicdb.com/musics/view/3511","Wolfgang Amadeus Mozart:Serenade No. 6 in D Major, KV  239, K.  239 (Serenata notturna)","Serenade","Orchestra","D Major","null","N/A","N/A","N/A"
"Sibelius, Jean","http://www.classicalmusicdb.com/composers/view/230","» Romance, Op. 24, No. 9","http://www.classicalmusicdb.com/musics/view/1787","Jean Sibelius:Romance, Op. 24, No. 9from Collection: 10 Pieces for Piano, Op. 24","null","- Piano Solo","null","10 Pieces for Piano, Op. 24","Grade 9 Piano
 List D: Post-Romantic, 20th, and 21st-century Repertoire","N/A","N/A"
"Brahms, Johannes","http://www.classicalmusicdb.com/composers/view/9","» Sankt Raphael (""Tröst die Bedrängten""), WoO  34, No. 7","http://www.classicalmusicdb.com/musics/view/4692","Johannes Brahms:Sankt Raphael (""Tröst die Bedrängten""), WoO  34, No. 7","null","Chorus","null","null","N/A","N/A","N/A"
"Dancla, Charles","http://www.classicalmusicdb.com/composers/view/273","» Fleuve du Tage, Op. 86, No. 8","http://www.classicalmusicdb.com/musics/view/5066","Charles Dancla:Fleuve du Tage, Op. 86, No. 8from Collection: 12 fantasies sur motifs favouris,, Op. 86","null","Violin & Piano","null","12 fantasies sur motifs favouris,, Op. 86","N/A","N/A","N/A"
"Brahms, Johannes","http://www.classicalmusicdb.com/composers/view/9","» Waltz No.07 in C♯ Minor, Op. 39, No. 7","http://www.classicalmusicdb.com/musics/view/4101","Johannes Brahms:Waltz No.07 in C♯ Minor, Op. 39, No. 7from Collection: 16 Waltzes, Op. 39","Waltz","null","C♯ Minor","16 Waltzes, Op. 39","N/A","N/A","N/A"
"Rode, Pierre","http://www.classicalmusicdb.com/composers/view/406","» Caprice, No. 24","http://www.classicalmusicdb.com/musics/view/5480","Pierre Rode:Caprice, No. 24from Collection: 24 Caprices","Caprice","Violin Solo","null","24 Caprices","Grade 10 Violin
 Etudes","N/A","N/A"
"Brahms, Johannes","http://www.classicalmusicdb.com/composers/view/9","» Fahr wohl! (""Fahr wohl, o Vöglein, das nun wandern soll""), Op. 93a, No. 4","http://www.classicalmusicdb.com/musics/view/4383","Johannes Brahms:Fahr wohl! (""Fahr wohl, o Vöglein, das nun wandern soll""), Op. 93a, No. 4from Collection: Songs and Romances, Op. 93a","null","Chorus","null","Songs and Romances, Op. 93a","N/A","N/A","N/A"
"MacDowell, Edward","http://www.classicalmusicdb.com/composers/view/65","» Bluette, Op. 46, No. 8","http://www.classicalmusicdb.com/musics/view/1042","Edward MacDowell:Bluette, Op. 46, No. 8from Collection: Zwölf Virtuosen-etüden (Twelve Virtuoso Studies), Op. 46","Étude","- Piano Solo","null","Zwölf Virtuosen-etüden (Twelve Virtuoso Studies), Op. 46","Grade 11 (ARCT Performance) Piano
 Concert Etudes","N/A","N/A"
"Southam, Ann","http://www.classicalmusicdb.com/composers/view/201","» No. 1, Allegretto","http://www.classicalmusicdb.com/musics/view/1511","Ann Southam:No. 1, Allegrettofrom Collection: Three in Blue: Jazz Preludes","null","- Piano Solo","null","Three in Blue: Jazz Preludes","Grade 8 Piano
 List D: Post-Romantic, 20th, and 21st-century Repertoire","N/A","N/A"
"Brahms, Johannes","http://www.classicalmusicdb.com/composers/view/9","» Liebesgluth (""Die Flamme hier"") in F Major, Op. 47, No. 2","http://www.classicalmusicdb.com/musics/view/4147","Johannes Brahms:Liebesgluth (""Die Flamme hier"") in F Major, Op. 47, No. 2","Lied","Voice & Piano","F Major","null","N/A","N/A","N/A"
"Brahms, Johannes","http://www.classicalmusicdb.com/composers/view/9","» O die Frauen, Op. 52, No. 3","http://www.classicalmusicdb.com/musics/view/4171","Johannes Brahms:O die Frauen, Op. 52, No. 3from Collection: 18 Liebeslieder Waltzes, Op. 52","Waltz","null","null","18 Liebeslieder Waltzes, Op. 52","N/A","N/A","N/A"
"Bach, Johann Sebastian","http://www.classicalmusicdb.com/composers/view/5","» St John Passion, BWV  245","http://www.classicalmusicdb.com/musics/view/6314","Johann Sebastian Bach:St John Passion, BWV  245","null","Voices Chorus Orchestra","null","null","N/A","N/A","N/A"
"Mendelssohn, Felix","http://www.classicalmusicdb.com/composers/view/11","» Prelude in B Minor, Op. 104a, No. 2","http://www.classicalmusicdb.com/musics/view/1054","Felix Mendelssohn:Prelude in B Minor, Op. 104a, No. 2from Collection: Three Preludes, Op. 104a","Prélude","- Piano Solo","B Minor","Three Preludes, Op. 104a","Grade 11 (ARCT Performance) Piano
 Concert Etudes","N/A","N/A"
"Dont, Jakob (Jacob)","http://www.classicalmusicdb.com/composers/view/402","» Allegro commodo, Op. 35, No. 14","http://www.classicalmusicdb.com/musics/view/5351","Jakob (Jacob) Dont:Allegro commodo, Op. 35, No. 14from Collection: Etudes and Caprices, Op. 35","Caprice","Violin Solo","null","Etudes and Caprices, Op. 35","Grade 10 Violin
 Etudes","N/A","N/A"
"Mozart, Wolfgang Amadeus","http://www.classicalmusicdb.com/composers/view/7","» Flute and Harp Concerto in C Major, KV  297c, K.  299","http://www.classicalmusicdb.com/musics/view/3575","Wolfgang Amadeus Mozart:Flute and Harp Concerto in C Major, KV  297c, K.  299","Concerto","null","C Major","null","N/A","N/A","N/A"
"Rovelli, Pietro","http://www.classicalmusicdb.com/composers/view/407","» Caprice, Op. 3, No. 7","http://www.classicalmusicdb.com/musics/view/5496","Pietro Rovelli:Caprice, Op. 3, No. 7from Collection: 12 Caprices for Solo Violin, Op. 3","Caprice","Violin Solo","null","12 Caprices for Solo Violin, Op. 3","Grade 10 Violin
 Etudes","N/A","N/A"
"Lyadov , Anatoly Konstantinovich","http://www.classicalmusicdb.com/composers/view/34","» The Enchanted Lake","http://www.classicalmusicdb.com/musics/view/4989","Anatoly Konstantinovich Lyadov :The Enchanted Lake","null","null","null","null","N/A","N/A","N/A"
"Bartók, Béla","http://www.classicalmusicdb.com/composers/view/18","» Hungarian Peasant Song, Sz.  71, No. 2","http://www.classicalmusicdb.com/musics/view/2083","Béla Bartók:Hungarian Peasant Song, Sz.  71, No. 2from Collection: 15 Hungarian Peasant Songs, Sz. 71","null","- Piano Solo","null","15 Hungarian Peasant Songs, Sz. 71","Grade 10 Piano
 List E: 20th- and 21st-century Repertoire","N/A","N/A"
"Prokofiev, Sergei Sergeyevich","http://www.classicalmusicdb.com/composers/view/49","» Legenda, No. 6","http://www.classicalmusicdb.com/musics/view/2159","Sergei Sergeyevich Prokofiev:Legenda, No. 6from Collection: Episodes: Ten Pieces, Op. 12","null","- Piano Solo","null","Episodes: Ten Pieces, Op. 12","N/A","N/A","N/A"
"Graupner, Christoph","http://www.classicalmusicdb.com/composers/view/116","» Bourrée in D Minor","http://www.classicalmusicdb.com/musics/view/6217","Christoph Graupner:Bourrée in D Minorfrom Collection: Notebook for Wolfgang","null","- Piano Solo","D Minor","Notebook for Wolfgang","Grade 1 Piano
 List A: Baroque and Classical Repertoire","N/A","N/A"
"Bach, Johann Sebastian","http://www.classicalmusicdb.com/composers/view/5","» Prelude and Fugue No. 10 in E Minor, BWV  855","http://www.classicalmusicdb.com/musics/view/52","Johann Sebastian Bach:Prelude and Fugue No. 10 in E Minor, BWV  855from Collection: Das Wohltemperierte Klavier I (The Well-Tempered Clavier 1)","Prelude and Fugue","- Piano Solo","E Minor","Das Wohltemperierte Klavier I (The Well-Tempered Clavier 1)","Grade 10 Piano
 List A: Works of J.S. Bach","N/A","N/A"
"Gardiner, Mary","http://www.classicalmusicdb.com/composers/view/196","» Two for D, No. 2","http://www.classicalmusicdb.com/musics/view/1646","Mary Gardiner:Two for D, No. 2from Collection: Two for D","null","- Piano Solo","null","Two for D","Grade 9 Piano
 List D: Post-Romantic, 20th, and 21st-century Repertoire","N/A","N/A"
"Brahms, Johannes","http://www.classicalmusicdb.com/composers/view/9","» Neue Liebeslieder Waltz No.08 in E♭ Major, Op. 65a, No. 8","http://www.classicalmusicdb.com/musics/view/4290","Johannes Brahms:Neue Liebeslieder Waltz No.08 in E♭ Major, Op. 65a, No. 8","Waltz","null","E♭ Major","null","N/A","N/A","N/A"
"Mozart, Wolfgang Amadeus","http://www.classicalmusicdb.com/composers/view/7","» An Chloe  (""Wenn die Lieb'"") in E♭ Major, KV  524, K.  524","http://www.classicalmusicdb.com/musics/view/3810","Wolfgang Amadeus Mozart:An Chloe  (""Wenn die Lieb'"") in E♭ Major, KV  524, K.  524","null","Voice & Piano","E♭ Major","null","N/A","N/A","N/A"
"MacDowell, Edward","http://www.classicalmusicdb.com/composers/view/65","» Märzwind, Op. 46, No. 10","http://www.classicalmusicdb.com/musics/view/1041","Edward MacDowell:Märzwind, Op. 46, No. 10from Collection: Zwölf Virtuosen-etüden (Twelve Virtuoso Studies), Op. 46","Étude","- Piano Solo","null","Zwölf Virtuosen-etüden (Twelve Virtuoso Studies), Op. 46","Grade 11 (ARCT Performance) Piano
 Concert Etudes","N/A","N/A"
"Mozart, Wolfgang Amadeus","http://www.classicalmusicdb.com/composers/view/7","» Fingerübungen, KV  626b","http://www.classicalmusicdb.com/musics/view/3940","Wolfgang Amadeus Mozart:Fingerübungen, KV  626b","null","- Piano Solo","null","null","N/A","N/A","N/A"
"Grieg, Edvard","http://www.classicalmusicdb.com/composers/view/10","» Scherzo, Op. 54, No. 5","http://www.classicalmusicdb.com/musics/view/1964","Edvard Grieg:Scherzo, Op. 54, No. 5from Collection: Lyric Pieces, Op. 54","null","- Piano Solo","null","Lyric Pieces, Op. 54","N/A","N/A","Level 5/6 (medium) Piano"
"Grieg, Edvard","http://www.classicalmusicdb.com/composers/view/10","» Bestemors menuet (Grandmother's minuet), Op. 68, No. 2","http://www.classicalmusicdb.com/musics/view/1984","Edvard Grieg:Bestemors menuet (Grandmother's minuet), Op. 68, No. 2from Collection: Lyric Pieces, Op. 68","null","- Piano Solo","null","Lyric Pieces, Op. 68","N/A","N/A","Level 3/4 (easy) Piano"
"Chopin, Frédéric","http://www.classicalmusicdb.com/composers/view/1","» Mazurka in B♭ Major, Op. 7, No. 1","http://www.classicalmusicdb.com/musics/view/1432","Frédéric Chopin:Mazurka in B♭ Major, Op. 7, No. 1","Mazurka","- Piano Solo","B♭ Major","null","N/A","N/A","Level 4/5 (medium) Piano"
"Shostakovich, Dmitri","http://www.classicalmusicdb.com/composers/view/26","» Dance from Dances of the Dolls","http://www.classicalmusicdb.com/musics/view/5163","Dmitri Shostakovich:Dance from Dances of the Dolls Arrangement  by Konstantin FortunatovThis entry is for the arrangement.","Dance","null","null","null","Grade 5 Violin
 List C: Concert Repertoire","N/A","N/A"
"Grieg, Edvard","http://www.classicalmusicdb.com/composers/view/10","» Illusjon (Illusion), Op. 57, No. 3","http://www.classicalmusicdb.com/musics/view/2232","Edvard Grieg:Illusjon (Illusion), Op. 57, No. 3from Collection: Lyric Pieces, Op. 57","null","- Piano Solo","null","Lyric Pieces, Op. 57","N/A","N/A","Level 4 (medium) Piano"
"Mozart, Wolfgang Amadeus","http://www.classicalmusicdb.com/composers/view/7","» Basta, vincesti in E♭ Major, KV  295a","http://www.classicalmusicdb.com/musics/view/3570","Wolfgang Amadeus Mozart:Basta, vincesti in E♭ Major, KV  295a","null","Voice & Orchestra","E♭ Major","null","N/A","N/A","N/A"
"Dutilleux, Henri","http://www.classicalmusicdb.com/composers/view/304","» Trois préludes","http://www.classicalmusicdb.com/musics/view/6012","Henri Dutilleux:Trois préludes","Prélude","- Piano Solo","null","null","Grade 12 (LRCM) Piano
 20th- and 21st-century Repertoire","N/A","N/A"
"Chopin, Frédéric","http://www.classicalmusicdb.com/composers/view/1","» Rondo, Op. 5 (Rondo à la mazur)","http://www.classicalmusicdb.com/musics/view/2273","Frédéric Chopin:Rondo, Op. 5 (Rondo à la mazur)","Rondo","- Piano Solo","null","null","N/A","N/A","Level 7/8 (difficult) Piano"
